"Filter","M","EbN0","BER","QAM_label"
"RRC",16,24,0.2216259765625,"16-QAM"
"RRC",16,25,0.22169921875,"16-QAM"
"RRC",16,26,0.22138671875,"16-QAM"
"RRC",16,27,0.2215478515625,"16-QAM"
"RRC",16,28,0.221298828125,"16-QAM"
"RRC",16,29,0.221689453125,"16-QAM"
"RRC",16,30,0.221123046875,"16-QAM"
"TASM",16,0,0.2325927734375,"16-QAM"
"TASM",16,1,0.23236328125,"16-QAM"
"TASM",16,2,0.2324267578125,"16-QAM"
"TASM",16,3,0.2327099609375,"16-QAM"
"TASM",16,4,0.232294921875,"16-QAM"
"TASM",16,5,0.2327685546875,"16-QAM"
"TASM",16,6,0.2322802734375,"16-QAM"
"TASM",16,7,0.2325439453125,"16-QAM"
"TASM",16,8,0.23251953125,"16-QAM"
"TASM",16,9,0.23216796875,"16-QAM"
"TASM",16,10,0.2326025390625,"16-QAM"
"TASM",16,11,0.23251953125,"16-QAM"
"TASM",16,12,0.2326904296875,"16-QAM"
"TASM",16,13,0.2325146484375,"16-QAM"
"TASM",16,14,0.2324267578125,"16-QAM"
"TASM",16,15,0.232275390625,"16-QAM"
"TASM",16,16,0.2324267578125,"16-QAM"
"TASM",16,17,0.2325146484375,"16-QAM"
"TASM",16,18,0.2323388671875,"16-QAM"
"TASM",16,19,0.2325244140625,"16-QAM"
"TASM",16,20,0.2322998046875,"16-QAM"
"TASM",16,21,0.2320947265625,"16-QAM"
"TASM",16,22,0.232265625,"16-QAM"
"TASM",16,23,0.232529296875,"16-QAM"
"TASM",16,24,0.232783203125,"16-QAM"
"TASM",16,25,0.232646484375,"16-QAM"
"TASM",16,26,0.232216796875,"16-QAM"
"TASM",16,27,0.2319482421875,"16-QAM"
"TASM",16,28,0.2321142578125,"16-QAM"
"TASM",16,29,0.2323388671875,"16-QAM"
"TASM",16,30,0.2325390625,"16-QAM"
"Sinc2",16,0,0.23255859375,"16-QAM"
"Sinc2",16,1,0.232314453125,"16-QAM"
"Sinc2",16,2,0.2323388671875,"16-QAM"
"Sinc2",16,3,0.2327001953125,"16-QAM"
"Sinc2",16,4,0.2322314453125,"16-QAM"
"Sinc2",16,5,0.23275390625,"16-QAM"
"Sinc2",16,6,0.2322509765625,"16-QAM"
"Sinc2",16,7,0.232431640625,"16-QAM"
"Sinc2",16,8,0.232470703125,"16-QAM"
"Sinc2",16,9,0.2321337890625,"16-QAM"
"Sinc2",16,10,0.232587890625,"16-QAM"
"Sinc2",16,11,0.2324755859375,"16-QAM"
"Sinc2",16,12,0.23263671875,"16-QAM"
"Sinc2",16,13,0.2324853515625,"16-QAM"
"Sinc2",16,14,0.232421875,"16-QAM"
"Sinc2",16,15,0.232265625,"16-QAM"
"Sinc2",16,16,0.232373046875,"16-QAM"
"Sinc2",16,17,0.2325244140625,"16-QAM"
"Sinc2",16,18,0.2322900390625,"16-QAM"
"Sinc2",16,19,0.232529296875,"16-QAM"
"Sinc2",16,20,0.2322412109375,"16-QAM"
"Sinc2",16,21,0.2319873046875,"16-QAM"
"Sinc2",16,22,0.2322509765625,"16-QAM"
"Sinc2",16,23,0.23248046875,"16-QAM"
"Sinc2",16,24,0.2327587890625,"16-QAM"
"Sinc2",16,25,0.232587890625,"16-QAM"
"Sinc2",16,26,0.2322021484375,"16-QAM"
"Sinc2",16,27,0.2318896484375,"16-QAM"
"Sinc2",16,28,0.2320263671875,"16-QAM"
"Sinc2",16,29,0.2323681640625,"16-QAM"
"Sinc2",16,30,0.2324853515625,"16-QAM"
"Ideal AWGN",64,0,0.172952528588416,"64-QAM"
"Ideal AWGN",64,1,0.160030733007205,"64-QAM"
"Ideal AWGN",64,2,0.14612374061521,"64-QAM"
"Ideal AWGN",64,3,0.13131683131205,"64-QAM"
"Ideal AWGN",64,4,0.115764064135706,"64-QAM"
"Ideal AWGN",64,5,0.0997041650641595,"64-QAM"
"Ideal AWGN",64,6,0.0834726667298508,"64-QAM"
"Ideal AWGN",64,7,0.067504575068518,"64-QAM"
"Ideal AWGN",64,8,0.0523197982772159,"64-QAM"
"Ideal AWGN",64,9,0.0384829892255838,"64-QAM"
"Ideal AWGN",64,10,0.026532609826146,"64-QAM"
"Ideal AWGN",64,11,0.0168835290399689,"64-QAM"
"Ideal AWGN",64,12,0.0097239850399706,"64-QAM"
"Ideal AWGN",64,13,0.00494598719497789,"64-QAM"
"Ideal AWGN",64,14,0.00215400375717989,"64-QAM"
"Ideal AWGN",64,15,0.000772472180420454,"64-QAM"
"Ideal AWGN",64,16,0.00021717395915942,"64-QAM"
"Ideal AWGN",64,17,4.49888734403962e-05,"64-QAM"
"Ideal AWGN",64,18,6.35114807198655e-06,"64-QAM"
"Ideal AWGN",64,19,5.53735377401514e-07,"64-QAM"
"Ideal AWGN",64,20,2.63389253177304e-08,"64-QAM"
"Ideal AWGN",64,21,5.84649530753604e-10,"64-QAM"
"Ideal AWGN",64,22,1e-10,"64-QAM"
"Ideal AWGN",64,23,1e-10,"64-QAM"
"Ideal AWGN",64,24,1e-10,"64-QAM"
"Ideal AWGN",64,25,1e-10,"64-QAM"
"Ideal AWGN",64,26,1e-10,"64-QAM"
"Ideal AWGN",64,27,1e-10,"64-QAM"
"Ideal AWGN",64,28,1e-10,"64-QAM"
"Ideal AWGN",64,29,1e-10,"64-QAM"
"Ideal AWGN",64,30,1e-10,"64-QAM"
"NGF",64,0,0.163860677083333,"64-QAM"
"NGF",64,1,0.164007161458333,"64-QAM"
"NGF",64,2,0.163922526041667,"64-QAM"
"NGF",64,3,0.1638671875,"64-QAM"
"NGF",64,4,0.164029947916667,"64-QAM"
"NGF",64,5,0.163977864583333,"64-QAM"
"NGF",64,6,0.163850911458333,"64-QAM"
"NGF",64,7,0.163990885416667,"64-QAM"
"NGF",64,8,0.164140625,"64-QAM"
"NGF",64,9,0.163870442708333,"64-QAM"
"NGF",64,10,0.163811848958333,"64-QAM"
"NGF",64,11,0.163938802083333,"64-QAM"
"NGF",64,12,0.163785807291667,"64-QAM"
"NGF",64,13,0.164036458333333,"64-QAM"
"NGF",64,14,0.163909505208333,"64-QAM"
"NGF",64,15,0.163831380208333,"64-QAM"
"NGF",64,16,0.163990885416667,"64-QAM"
"NGF",64,17,0.163802083333333,"64-QAM"
"NGF",64,18,0.163850911458333,"64-QAM"
"NGF",64,19,0.163948567708333,"64-QAM"
"NGF",64,20,0.163935546875,"64-QAM"
"NGF",64,21,0.16400390625,"64-QAM"
"NGF",64,22,0.163958333333333,"64-QAM"
"NGF",64,23,0.164013671875,"64-QAM"
"NGF",64,24,0.164124348958333,"64-QAM"
"NGF",64,25,0.163948567708333,"64-QAM"
"NGF",64,26,0.16388671875,"64-QAM"
"NGF",64,27,0.16388671875,"64-QAM"
"NGF",64,28,0.163889973958333,"64-QAM"
"NGF",64,29,0.163873697916667,"64-QAM"
"NGF",64,30,0.163958333333333,"64-QAM"
"RRC",64,0,0.161875,"64-QAM"
"RRC",64,1,0.161839192708333,"64-QAM"
"RRC",64,2,0.161676432291667,"64-QAM"
"RRC",64,3,0.161744791666667,"64-QAM"
"RRC",64,4,0.16208984375,"64-QAM"
"RRC",64,5,0.161858723958333,"64-QAM"
"RRC",64,6,0.161800130208333,"64-QAM"
"RRC",64,7,0.161907552083333,"64-QAM"
"RRC",64,8,0.16185546875,"64-QAM"
"RRC",64,9,0.162044270833333,"64-QAM"
"RRC",64,10,0.161985677083333,"64-QAM"
"RRC",64,11,0.162054036458333,"64-QAM"
"RRC",64,12,0.162047526041667,"64-QAM"
"RRC",64,13,0.162145182291667,"64-QAM"
"RRC",64,14,0.162047526041667,"64-QAM"
"RRC",64,15,0.162047526041667,"64-QAM"
"RRC",64,16,0.161800130208333,"64-QAM"
"RRC",64,17,0.161897786458333,"64-QAM"
"RRC",64,18,0.161982421875,"64-QAM"
"RRC",64,19,0.161959635416667,"64-QAM"
"RRC",64,20,0.161930338541667,"64-QAM"
"RRC",64,21,0.161559244791667,"64-QAM"
"RRC",64,22,0.161875,"64-QAM"
"RRC",64,23,0.16203125,"64-QAM"
"RRC",64,24,0.161901041666667,"64-QAM"
"RRC",64,25,0.1619140625,"64-QAM"
"RRC",64,26,0.161979166666667,"64-QAM"
"RRC",64,27,0.162135416666667,"64-QAM"
"RRC",64,28,0.161774088541667,"64-QAM"
"RRC",64,29,0.16185546875,"64-QAM"
"RRC",64,30,0.161907552083333,"64-QAM"
"TASM",64,0,0.163863932291667,"64-QAM"
"TASM",64,1,0.164010416666667,"64-QAM"
"TASM",64,2,0.163942057291667,"64-QAM"
"TASM",64,3,0.163860677083333,"64-QAM"
"TASM",64,4,0.164029947916667,"64-QAM"
"TASM",64,5,0.163997395833333,"64-QAM"
"TASM",64,6,0.163841145833333,"64-QAM"
"TASM",64,7,0.163990885416667,"64-QAM"
"TASM",64,8,0.164140625,"64-QAM"
"TASM",64,9,0.163876953125,"64-QAM"
"TASM",64,10,0.163815104166667,"64-QAM"
"TASM",64,11,0.1639453125,"64-QAM"
"TASM",64,12,0.163782552083333,"64-QAM"
"TASM",64,13,0.164052734375,"64-QAM"
"TASM",64,14,0.163909505208333,"64-QAM"
"TASM",64,15,0.163815104166667,"64-QAM"
"TASM",64,16,0.163990885416667,"64-QAM"
"TASM",64,17,0.163811848958333,"64-QAM"
"TASM",64,18,0.163850911458333,"64-QAM"
"TASM",64,19,0.163951822916667,"64-QAM"
"TASM",64,20,0.16392578125,"64-QAM"
"TASM",64,21,0.164016927083333,"64-QAM"
"TASM",64,22,0.163968098958333,"64-QAM"
"TASM",64,23,0.164020182291667,"64-QAM"
