"Filter","freq","psd_lin","psd_dB"
"NGF",0.03466796875,2.12481601562436e-07,-40.7872713800973
"NGF",0.034912109375,2.23997622478304e-07,-40.558050604328
"NGF",0.03515625,2.31663094593369e-07,-40.411916157457
"NGF",0.035400390625,2.3525006142693e-07,-40.3451872366921
"NGF",0.03564453125,2.34751119424111e-07,-40.3544079726749
"NGF",0.035888671875,2.30352569291639e-07,-40.4365540854709
"NGF",0.0361328125,2.2239643396491e-07,-40.5892064993564
"NGF",0.036376953125,2.11338994622184e-07,-40.8106883209371
"NGF",0.03662109375,1.97712716171483e-07,-41.1001386669607
"NGF",0.036865234375,1.8209607905053e-07,-41.4574787463701
"NGF",0.037109375,1.65092668095944e-07,-41.8832068286026
"NGF",0.037353515625,1.47317819144134e-07,-42.3779318812419
"NGF",0.03759765625,1.29389013517538e-07,-42.9415106742072
"NGF",0.037841796875,1.11915547464632e-07,-43.5715804565129
"NGF",0.0380859375,9.5483871524381e-08,-44.2611844941215
"NGF",0.038330078125,8.06370603914218e-08,-44.9951378190066
"NGF",0.03857421875,6.78494948421192e-08,-45.7450185060095
"NGF",0.038818359375,5.75002372994498e-08,-46.4637883217238
"NGF",0.0390625,4.98500521231495e-08,-47.0838285242295
"NGF",0.039306640625,4.50271011247069e-08,-47.525744814788
"NGF",0.03955078125,4.30249492446268e-08,-47.723281024942
"NGF",0.039794921875,4.37139689305176e-08,-47.6542822990908
"NGF",0.0400390625,4.68641963671409e-08,-47.3520729507632
"NGF",0.040283203125,5.21750005161578e-08,-46.8858600713472
"NGF",0.04052734375,5.93053534177121e-08,-46.3295457083245
"NGF",0.040771484375,6.78985330816941e-08,-45.7418807753033
"NGF",0.041015625,7.75968056916158e-08,-45.162046254756
"NGF",0.041259765625,8.8044602386276e-08,-44.6134573266666
"NGF",0.04150390625,9.8882132862592e-08,-44.1093064370072
"NGF",0.041748046875,1.09734310366711e-07,-43.6570603053471
"NGF",0.0419921875,1.20201460310469e-07,-43.2613872528786
"NGF",0.042236328125,1.29858065917551e-07,-42.9257953888684
"NGF",0.04248046875,1.38263789189483e-07,-42.6534001439788
"NGF",0.042724609375,1.44987714930125e-07,-42.4471726392733
"NGF",0.04296875,1.49643074761398e-07,-42.3099184597103
"NGF",0.043212890625,1.5192660008318e-07,-42.244146501579
"NGF",0.04345703125,1.51654946123655e-07,-42.2519189006969
"NGF",0.043701171875,1.48790757943919e-07,-42.3347251308382
"NGF",0.0439453125,1.43452858712761e-07,-42.4933926192777
"NGF",0.044189453125,1.35908220429315e-07,-42.7280274327408
"NGF",0.04443359375,1.2654701726672e-07,-43.0379655594356
"NGF",0.044677734375,1.15845278554777e-07,-43.421701309942
"NGF",0.044921875,1.04321726747236e-07,-43.8767370222066
"NGF",0.045166015625,9.24959096590095e-08,-44.3992594131388
"NGF",0.04541015625,8.0853720338421e-08,-44.9834846118748
"NGF",0.045654296875,6.98242079780944e-08,-45.6204245100672
"NGF",0.0458984375,5.97688195628948e-08,-46.2957379058745
"NGF",0.046142578125,5.09815389661814e-08,-46.9863552790525
"NGF",0.04638671875,4.36963734400271e-08,-47.6560307476891
"NGF",0.046630859375,3.80976289561023e-08,-48.2515052140174
"NGF",0.046875,3.43285095181102e-08,-48.7039352161563
"NGF",0.047119140625,3.24946297512802e-08,-48.9423687625425
"NGF",0.04736328125,3.26607368210606e-08,-48.9202249104257
"NGF",0.047607421875,3.48409095163059e-08,-48.6395898549781
"NGF",0.0478515625,3.89843509097365e-08,-48.1515816156398
"NGF",0.048095703125,4.49602843594195e-08,-47.5321941982521
"NGF",0.04833984375,5.25461592018554e-08,-46.8550749187571
"NGF",0.048583984375,6.14232408584528e-08,-46.1771574189043
"NGF",0.048828125,7.11826926993572e-08,-45.5367405669559
"NGF",0.049072265625,8.13435809162149e-08,-44.9572518211896
"NGF",0.04931640625,9.13821114839759e-08,-44.4518728048235
"NGF",0.049560546875,1.00769217453343e-07,-44.0272058320839
"NGF",0.0498046875,1.0901179447788e-07,-43.6857498040643
"NGF",0.050048828125,1.15691848333309e-07,-43.4274570959958
"NGF",0.05029296875,1.20497860027667e-07,-43.2506913500816
"NGF",0.050537109375,1.23243864349442e-07,-43.1528316187255
"NGF",0.05078125,1.2387388332468e-07,-43.1306871665501
"NGF",0.051025390625,1.22452018278927e-07,-43.1808252151941
"NGF",0.05126953125,1.19141091095757e-07,-43.299868961127
"NGF",0.051513671875,1.14174637994889e-07,-43.4847882587289
"NGF",0.0517578125,1.07827852198242e-07,-43.7331751449923
"NGF",0.052001953125,1.00392578966746e-07,-44.04346858281
"NGF",0.05224609375,9.21598516948911e-08,-44.4150670196254
"NGF",0.052490234375,8.34111725253635e-08,-44.8482424297766
"NGF",0.052734375,7.44173980572901e-08,-45.3437398796462
"NGF",0.052978515625,6.54422917953109e-08,-45.9018996920477
"NGF",0.05322265625,5.67469739536633e-08,-46.52105761546
"NGF",0.053466796875,4.85917718184234e-08,-47.1948573398839
"NGF",0.0537109375,4.12331751737749e-08,-47.9080169009476
"NGF",0.053955078125,3.4915315211343e-08,-48.6303250201457
"NGF",0.05419921875,2.98570909215882e-08,-49.3100097851396
"NGF",0.054443359375,2.62372968650511e-08,-49.8712937996896
"NGF",0.0546875,2.41805776093154e-08,-50.2258179838652
"NGF",0.054931640625,2.37467137943229e-08,-50.3044495119669
"NGF",0.05517578125,2.49248331368819e-08,-50.0941620962619
"NGF",0.055419921875,2.76329846776275e-08,-49.6462067295938
"NGF",0.0556640625,3.17224883551169e-08,-49.0468122253722
"NGF",0.055908203125,3.69858520120677e-08,-48.3801284153753
"NGF",0.05615234375,4.31669398966424e-08,-47.7089720654678
"NGF",0.056396484375,4.99724002145728e-08,-47.073182597118
"NGF",0.056640625,5.70838952476337e-08,-46.4953486865673
"NGF",0.056884765625,6.41711568142127e-08,-45.9870860077502
"NGF",0.05712890625,7.09060907753389e-08,-45.5536492684157
"NGF",0.057373046875,7.69779772712712e-08,-45.1968197409445
"NGF",0.0576171875,8.21093100556968e-08,-44.9165606629302
"NGF",0.057861328125,8.6071169562794e-08,-44.7119076482945
"NGF",0.05810546875,8.86964773934703e-08,-44.5814209712669
"NGF",0.058349609375,8.98892662930691e-08,-44.5234063358666
"NGF",0.05859375,8.96283600461892e-08,-44.5360301907388
"NGF",0.058837890625,8.79645948693307e-08,-44.6174056232392
"NGF",0.05908203125,8.50117865448616e-08,-44.7656932608343
"NGF",0.059326171875,8.09328049173445e-08,-44.9792387701508
"NGF",0.0595703125,7.59230645588501e-08,-45.2567473953155
"NGF",0.059814453125,7.01942171345853e-08,-45.5974713438906
"NGF",0.06005859375,6.39606836490613e-08,-46.0013537207708
"NGF",0.060302734375,5.74308933128393e-08,-46.4690289757106
"NGF",0.060546875,5.08038630010159e-08,-47.0015173294295
"NGF",0.060791015625,4.42703498898735e-08,-47.5993551473796
"NGF",0.06103515625,3.80165934754692e-08,-48.260752703974
"NGF",0.061279296875,3.22279564266777e-08,-48.978157013775
"NGF",0.0615234375,2.70897838018782e-08,-49.7324293013861
"NGF",0.061767578125,2.27835540187472e-08,-50.4842699831318
"NGF",0.06201171875,1.94777216887247e-08,-51.1651031312915
"NGF",0.062255859375,1.73142193001925e-08,-51.6764555522146
"NGF",0.0625,1.63929806986141e-08,-51.913905416344
"NGF",0.062744140625,1.67576947688052e-08,-51.8183419342116
"NGF",0.06298828125,1.83860502367762e-08,-51.4156002674999
"NGF",0.063232421875,2.11869572942033e-08,-50.7997987797078
"NGF",0.0634765625,2.50058150559635e-08,-50.0800745437456
"NGF",0.063720703125,2.96371939368001e-08,-49.3421138711682
"NGF",0.06396484375,3.48427512602369e-08,-48.6393602863195
"NGF",0.064208984375,4.03711851131893e-08,-47.9997697067323
"NGF",0.064453125,4.59767958300038e-08,-47.4350976760804
"NGF",0.064697265625,5.14337982666382e-08,-46.9479987202364
"NGF",0.06494140625,5.65447335678739e-08,-46.5365630710288
"NGF",0.065185546875,6.11428354890983e-08,-46.1970289397522
"NGF",0.0654296875,6.50896235522641e-08,-45.9253670937426
"NGF",0.065673828125,6.82699786183578e-08,-45.7181870233466
"NGF",0.06591796875,7.05872915189707e-08,-45.5732195111953
"NGF",0.066162109375,7.19609236407515e-08,-45.4895174015508
"NGF",0.06640625,7.23273140861097e-08,-45.4674613153229
"NGF",0.066650390625,7.16448724081648e-08,-45.5086335558704
"NGF",0.06689453125,6.9901623405791e-08,-45.6156120718558
"NGF",0.067138671875,6.71237081732776e-08,-45.7917252857817
"NGF",0.0673828125,6.33824855313066e-08,-46.0407920321042
"NGF",0.067626953125,5.87981772215711e-08,-46.3668460627076
"NGF",0.06787109375,5.35386765509748e-08,-46.773808377251
"NGF",0.068115234375,4.78131016101247e-08,-47.265015521101
"NGF",0.068359375,4.18606742898726e-08,-47.8424224951347
"NGF",0.068603515625,3.5936309889954e-08,-48.5051498951498
"NGF",0.06884765625,3.02947448103525e-08,-49.2468117062695
"NGF",0.069091796875,2.51750558404328e-08,-50.0507802663947
"NGF",0.0693359375,2.07870925508435e-08,-50.8825471949206
"NGF",0.069580078125,1.73008002018291e-08,-51.6798227845589
"NGF",0.06982421875,1.48388360988536e-08,-52.3464863127604
"NGF",0.070068359375,1.34724351805655e-08,-52.7660236640067
"NGF",0.0703125,1.32202461059915e-08,-52.8480892918697
"NGF",0.070556640625,1.40498288493395e-08,-52.5837743533606
"NGF",0.07080078125,1.58815898162414e-08,-52.0515449413412
"NGF",0.071044921875,1.85950034806093e-08,-51.3665220518244
"NGF",0.0712890625,2.20369209658895e-08,-50.6289755507496
"NGF",0.071533203125,2.60315528078346e-08,-49.9054839419191
"NGF",0.07177734375,3.03913814768519e-08,-49.2329802726117
"NGF",0.072021484375,3.4927931607457e-08,-48.6287560119672
"NGF",0.072265625,3.94611564197388e-08,-48.0987866095004
"NGF",0.072509765625,4.38263124379183e-08,-47.6431353867519
"NGF",0.07275390625,4.78776323414799e-08,-47.2591580375952
"NGF",0.072998046875,5.14887971324906e-08,-46.943357230944
